"ID","trial","condition","stream","SPE","targetSP","response","stimuli"
"AH",24,8,2,-7,13,"O","BMISEORATJPULHQGKXCFDWZY"
"AH",25,8,2,6,14,"F","MOKGLRSPUCJDYEHQTZXFIBAW"
"AH",26,8,1,1,12,"R","ILHYKGZUQWFBREOXPSDJMCTA"
"AH",27,8,1,-3,10,"R","QCFEXHRYGUBJKMDWTOSIAPLZ"
"AH",28,8,1,1,16,"D","OZUWALBMQCJEXTHPDKIFGSRY"
"AH",29,8,1,0,16,"A","XUSWQTJLPZHIERMAOFCDBYGK"
"AH",30,8,1,-6,8,"K","LKYBZTSJHOCDIAPGMEQXURWF"
"AH",31,8,1,-1,7,"Z","OJKXPZDQISGWUTBEFLHMYRCA"
"AH",32,8,1,-6,7,"C","CEMLKIRGPUWZQJADXFOTBHYS"
"AH",33,8,1,0,11,"C","IQMOUHKFAXCGJZEDYBTWSLPR"
"AH",34,8,1,1,16,"P","FOIQXJDZLYSTAHWRPBMEUKCG"
"AH",35,8,1,1,11,"D","TSXHBACEGOKDUQLIFZMRYJWP"
"AH",36,8,1,1,7,"K","LDCFBYGKAPWJXIRMQTOESZHU"
"AH",37,8,1,9,11,"W","YGTOCIZBMDXHQFPERAKWLUJS"
"AH",38,8,1,1,18,"S","QBIAPKGHCLRXMTOEJZSFDWYU"
"AH",39,8,1,0,14,"Y","ZRDEWATPQLXKHYBICSFGJMOU"
"AH",40,8,1,0,8,"C","TMAUGYICQSPHXWZBJRDKOEFL"
"AH",41,8,1,-15,18,"C","MBCKTYFESPOUAXILHDGZRQWJ"
"AH",42,8,1,1,18,"Z","KGEQRFUPJYOHMLBTSWZDCAIX"
"AH",43,8,1,1,16,"Z","YFLUJEIPRDGOKCXQZTWBSHMA"
"AH",44,8,1,1,18,"S","KMADTWRJPYXIFLCZEUSGHBOQ"
"AH",45,8,1,1,9,"J","WCSOFBPKYJZHAXUGTEILQMRD"
"AH",46,8,1,-1,18,"R","UJLBTZWOGSCKYQDHRPIFXEMA"
"AH",47,8,1,1,18,"R","QSCKMXOPGUEWJAHTDFRZYLIB"
"AH",48,8,1,1,11,"R","BFZTYIUQJOPRKSWXEMLHGCDA"
"AH",49,8,1,0,17,"S","JFCEYMDOWRGAIZQKSBLUXHPT"
"AH",50,8,1,1,18,"P","EAHFYKSUBWOXJTCZRDPMGQIL"
"AH",26,8,2,0,12,"Z","EBRGWDOJPKXZIUHMAQTLYSFC"
"AH",27,8,2,-9,10,"B","BMISXHDFYWRPQAOGLTKZJUEC"
"AH",28,8,2,-15,16,"M","MYXQBHUFELJSGTIWCROKDZPA"
"AH",29,8,2,2,16,"W","CAQRKISFMJODPBTYHWZUELGX"
"AH",30,8,2,1,8,"C","EWLXDSTQCFJOYPABHMRKZGIU"
"AH",31,8,2,1,7,"O","JABPIWTOEDYLMXGSRQHFKUZC"
"AH",32,8,2,-1,7,"E","UXMJHEDFOBCGWSYKPQLTIZRA"
"AH",33,8,2,0,11,"Z","WUICEXYMJRZBFGSTLDOKHPQA"
"AH",34,8,2,-10,16,"W","ZHSICWRAFLUEGPQDYJXTOMKB"
"AH",35,8,2,1,11,"J","TRAQYSXWKUZJBMCEGLDHIFOP"
"AH",36,8,2,1,7,"G","LXDPHBEGWZAQJYMOUKICSTRF"
"AH",37,8,2,-8,11,"D","ZIDQGCTAUSBMPOEHFLWKYJXR"
"AH",38,8,2,1,18,"L","IHXWMRTPEBDQJCOSKFLYZUGA"
"AH",39,8,2,4,14,"L","QCDMGFUYAPOWZTIJSLBHKXER"
"AH",40,8,2,-4,8,"O","DJGOMHXCRLUBFYPTIZAQSEKW"
"AH",41,8,2,-16,18,"D","XDYMCKFJRIPLEUABGHQTZWSO"
"AH",42,8,2,-2,18,"U","SETRPYOAZKCLIGMUBJWDQFHX"
"AH",43,8,2,5,16,"U","LCWEIHKOXGJDRABSQYZTUMPF"
"AH",44,8,2,1,18,"Z","GLKMFJROYUPTBDIWEQZAXHSC"
"AH",45,8,2,-6,9,"B","ICBZXLMHGDPOJESTFAYQURKW"
"AH",46,8,2,-15,18,"W","KRWHPQDJZMEFLTISOXUYGBAC"
"AH",47,8,2,0,18,"W","BCSAXPIYREKGHFODTWQLJZUM"
"AH",48,8,2,1,11,"X","CYEJGOFZRKTXWHPMUSDBIQLA"
"AH",49,8,2,0,17,"M","CYPOSUJILBZQGTEXMHFDKWRA"
"AH",50,8,2,-1,18,"K","OZPWTQFBMRGHYADEKXICULSJ"
"AH",51,8,1,0,7,"R","LGPEXMRFWDHJZSKBYUAQIOCT"
"AH",52,8,1,0,9,"X","JPOEDSHCXUKRQZBYLGTMAWIF"
"AH",53,8,1,1,15,"S","BHRCKOIJXZYQMGUSADEFPWLT"
"AH",54,8,1,1,9,"W","BRAELZUQHWDPCSTFGMXYIKOJ"
"AH",55,8,1,-1,13,"H","OKWSJYLTEZQHUMFCAGIRXPDB"
"AH",56,8,1,0,12,"A","YLJCRQXDTFIAKUGWESHZPBMO"
"AH",57,8,1,0,10,"X","ZGLRJTFCBXDEWKPSAYUOQIMH"
"AH",58,8,1,1,16,"X","TIOEZPKBFASCRLHJXGUDWQYM"
"AH",59,8,1,1,8,"F","MYURJQTDFKOWBECIGHXALSPZ"
"AH",60,8,1,1,17,"R","GWOQKZIJCSAHTDUEMRYFBXPL"
