"ID","date","exp","pool","block","trial","stream","condition","targetSP","SPE","rate","eccentricity","stimuli"
"EL","2012-11-30","Exp2","Experienced Observers",4,15,1,1,12,1,0,0,"EFUHAYDNMBXKLQIJROTZSGWP"
"EL","2012-11-30","Exp2","Experienced Observers",4,16,1,1,7,0,0,0,"RLXDOINUYTESMKQJHBFWAGPZ"
"EL","2012-11-30","Exp2","Experienced Observers",4,17,1,1,17,1,0,0,"YQZSHGXWUTNRPLJEIBOAMKFD"
"EL","2012-11-30","Exp2","Experienced Observers",4,18,1,1,13,1,0,0,"KEWRIAZLMPGTBSUNHDFOXQYJ"
"EL","2012-11-30","Exp2","Experienced Observers",4,19,1,1,15,1,0,0,"QFYNTKDAJMPLIRSXOEHZWUBG"
"EL","2012-11-30","Exp2","Experienced Observers",4,20,1,1,13,1,0,0,"INZXEHLSRBPUKMWJQDTAFGOY"
"EL","2012-11-30","Exp2","Experienced Observers",4,21,1,1,18,1,0,0,"SLZHABOXJEFIQTWNPUYGDRMK"
"EL","2012-11-30","Exp2","Experienced Observers",4,22,1,1,11,0,0,0,"GWBRTSPXNYUIQLDAMEJZKHOF"
"EL","2012-11-30","Exp2","Experienced Observers",4,23,1,1,18,0,0,0,"GXLORZDFBTHPUWQSMKIJENYA"
"EL","2012-11-30","Exp2","Experienced Observers",4,24,1,1,8,1,0,0,"NYEIGKRUXLQHAMDPWBZFSJOT"
"EL","2012-11-30","Exp2","Experienced Observers",4,25,1,1,13,0,0,0,"DKGEOQMZNHPIRXBUTWYALJSF"
"EL","2012-11-30","Exp2","Experienced Observers",4,1,2,1,9,1,0,0,"OZEWGLYDSHXUPIFBMRNJQAKT"
"EL","2012-11-30","Exp2","Experienced Observers",4,2,2,1,8,2,0,0,"KYFRIHBXZWGMTDAEQPLSJOUN"
"EL","2012-11-30","Exp2","Experienced Observers",4,3,2,1,7,-2,0,0,"QXLKHMDOZWNIEARFBPYSGJTU"
"EL","2012-11-30","Exp2","Experienced Observers",4,4,2,1,12,0,0,0,"WRATQZDGLPOSKNMBYUHIEXFJ"
"EL","2012-11-30","Exp2","Experienced Observers",4,5,2,1,10,-4,0,0,"KXHOYWTARNUZJQDSEPMLIFBG"
"EL","2012-11-30","Exp2","Experienced Observers",4,6,2,1,18,0,0,0,"JKPNOBQTWAGYRFMUZIHELDXS"
"EL","2012-11-30","Exp2","Experienced Observers",4,7,2,1,13,0,0,0,"JQRFELSDOGUPHKTBAYWZNIMX"
"EL","2012-11-30","Exp2","Experienced Observers",4,8,2,1,10,0,0,0,"IRHPKWMOFZUYSNDLBGXAJTQE"
"EL","2012-11-30","Exp2","Experienced Observers",4,9,2,1,8,1,0,0,"NELPRTBFDHKSOIQYXWMZAGUJ"
"EL","2012-11-30","Exp2","Experienced Observers",4,10,2,1,18,6,0,0,"RBZEDHYOSWXPJAKNQIGMTLUF"
"EL","2012-11-30","Exp2","Experienced Observers",4,11,2,1,8,0,0,0,"REUXTWSDZAPQOIYGJFHMBLNK"
